school,student_id,sex,age,address,absences,subject_1,subject_2,subject_3
GP,STD1,F,18,U,4,0,11,11
GP,STD2,F,17,U,2,9,11,11
GP,STD3,F,15,U,6,12,13,12
GP,STD4,F,15,U,0,14,14,14
GP,STD5,F,16,U,0,11,13,13
GP,STD6,M,16,U,6,12,12,13
GP,STD7,M,16,U,0,13,12,13
GP,STD8,F,17,U,2,10,13,13
GP,STD9,M,15,U,0,15,16,17
GP,STD10,M,15,U,0,12,12,13
GP,STD11,F,15,U,2,14,14,14
GP,STD12,F,15,U,0,10,12,13
GP,STD13,M,15,U,0,12,13,12
GP,STD14,M,15,U,0,12,12,13
GP,STD15,M,15,U,0,14,14,15
GP,STD16,F,16,U,6,17,17,17
GP,STD17,F,16,U,10,13,13,14
GP,STD18,F,16,U,2,13,14,14
GP,STD19,M,17,U,2,8,8,7
GP,STD20,M,16,U,6,12,12,12
GP,STD21,M,15,U,0,12,13,14
GP,STD22,M,15,U,0,11,12,12
GP,STD23,M,16,U,0,12,13,14
GP,STD24,M,16,U,2,10,10,10
GP,STD25,F,15,R,2,10,11,10
GP,STD26,F,16,U,6,10,11,12
GP,STD27,M,15,U,8,11,12,12
GP,STD28,M,15,U,0,11,11,11
GP,STD29,M,16,U,2,12,12,13
GP,STD30,M,16,U,4,12,11,12
GP,STD31,M,15,U,0,10,11,11
GP,STD32,M,15,U,2,15,15,15
GP,STD33,M,15,R,0,13,14,15
GP,STD34,M,15,U,0,13,12,12
GP,STD35,M,16,U,4,12,12,12
GP,STD36,F,15,U,4,11,11,11
GP,STD37,M,15,U,0,14,14,14
GP,STD38,M,16,R,4,13,13,13
GP,STD39,F,15,R,2,11,12,12
GP,STD40,F,15,R,8,14,13,12
GP,STD41,F,16,U,16,11,11,10
GP,STD42,M,15,U,8,10,11,11
GP,STD43,M,15,U,0,14,15,15
GP,STD44,M,15,U,0,9,10,10
GP,STD45,F,16,U,14,10,11,11
GP,STD46,F,15,U,4,10,11,11
GP,STD47,F,16,U,6,13,12,13
GP,STD48,M,16,U,2,17,17,17
GP,STD49,M,15,U,4,11,12,13
GP,STD50,F,15,U,2,13,12,12
GP,STD51,F,16,U,0,14,13,13
GP,STD52,F,15,U,0,16,14,16
GP,STD53,M,15,U,4,10,9,9
GP,STD54,F,15,U,0,13,12,12
GP,STD55,F,15,U,0,13,12,13
GP,STD56,F,16,U,2,12,13,12
GP,STD57,F,15,U,0,15,14,15
GP,STD58,M,15,U,8,15,15,16
GP,STD59,M,15,U,0,14,13,14
GP,STD60,F,16,U,2,16,15,16
GP,STD61,F,16,R,0,17,16,16
GP,STD62,F,16,U,0,10,10,16
GP,STD63,F,16,U,0,13,13,10
GP,STD64,F,16,U,0,14,13,13
GP,STD65,F,15,U,0,13,12,12
GP,STD66,F,16,U,2,16,15,16
GP,STD67,M,15,U,0,11,12,12
GP,STD68,F,16,U,0,10,9,10
GP,STD69,F,15,R,0,11,10,11
GP,STD70,F,15,R,6,15,15,15
GP,STD71,M,16,U,2,13,11,11
GP,STD72,M,15,U,0,11,9,10
GP,STD73,F,15,R,2,13,11,11
GP,STD74,M,16,U,0,13,13,14
GP,STD75,F,16,U,4,11,11,11
GP,STD76,M,15,U,0,11,11,11
GP,STD77,M,15,U,0,12,11,11
GP,STD78,F,16,U,1,13,13,13
GP,STD79,M,17,U,0,9,9,10
GP,STD80,F,16,U,14,12,11,11
GP,STD81,M,15,U,0,11,11,12
GP,STD82,M,15,U,2,10,9,9
GP,STD83,F,15,U,4,12,11,11
GP,STD84,M,15,U,2,13,12,13
GP,STD85,F,15,U,2,13,12,12
GP,STD86,F,15,U,4,12,11,12
GP,STD87,F,16,U,6,13,11,11
GP,STD88,F,15,U,4,15,15,15
GP,STD89,M,16,U,6,12,10,11
GP,STD90,M,16,U,6,9,9,10
GP,STD91,F,16,U,2,9,11,11
GP,STD92,F,15,U,6,14,13,13
GP,STD93,F,16,U,0,12,13,12
GP,STD94,F,16,U,2,13,14,14
GP,STD95,M,15,U,2,11,12,12
GP,STD96,F,15,R,4,13,13,13
GP,STD97,M,16,R,6,9,11,11
GP,STD98,F,16,U,0,13,12,12
GP,STD99,F,16,U,4,12,13,13
GP,STD100,F,16,U,2,12,13,13
GP,STD101,M,16,U,12,9,9,8
GP,STD102,M,16,U,0,16,16,16
GP,STD103,M,15,U,2,12,13,12
GP,STD104,F,15,U,16,11,10,10
GP,STD105,M,15,U,0,16,16,16
GP,STD106,F,15,U,10,10,10,10
GP,STD107,F,15,U,4,10,10,10
GP,STD108,M,16,U,4,13,14,14
GP,STD109,M,15,R,8,12,10,11
GP,STD110,F,16,U,2,15,15,14
GP,STD111,M,15,U,4,13,14,14
GP,STD112,F,16,R,4,11,11,11
GP,STD113,F,16,U,12,8,10,10
GP,STD114,M,15,U,10,18,17,18
GP,STD115,M,15,R,4,10,9,10
GP,STD116,M,16,U,6,16,14,14
GP,STD117,M,15,U,4,16,15,16
GP,STD118,M,16,U,6,14,14,15
GP,STD119,M,17,R,14,12,11,11
GP,STD120,M,15,U,2,14,13,14
GP,STD121,F,15,U,0,14,14,14
GP,STD122,M,15,U,6,14,13,13
GP,STD123,F,16,U,2,14,12,13
GP,STD124,M,16,U,4,12,13,13
GP,STD125,F,16,U,0,12,11,11
GP,STD126,M,15,U,2,9,9,9
GP,STD127,F,15,U,0,10,11,11
GP,STD128,F,19,U,0,9,10,11
GP,STD129,M,16,R,8,14,14,15
GP,STD130,M,16,U,4,13,12,13
GP,STD131,F,15,R,0,10,11,12
GP,STD132,F,18,U,10,10,9,8
GP,STD133,F,17,U,8,11,10,11
GP,STD134,F,15,U,6,11,12,13
GP,STD135,F,17,U,2,13,12,12
GP,STD136,F,16,U,12,15,13,14
GP,STD137,M,16,U,4,9,9,11
GP,STD138,F,16,U,12,13,11,11
GP,STD139,M,15,R,2,12,11,11
GP,STD140,F,15,U,4,13,14,15
GP,STD141,M,17,R,2,10,9,10
GP,STD142,F,16,R,0,14,13,13
GP,STD143,M,18,U,2,11,11,12
GP,STD144,F,18,U,10,12,11,11
GP,STD145,F,16,R,8,12,11,11
GP,STD146,F,16,U,4,9,9,10
GP,STD147,M,16,U,0,10,10,10
GP,STD148,F,15,U,6,13,14,14
GP,STD149,F,15,R,2,8,9,9
GP,STD150,M,15,U,6,9,11,11
GP,STD151,F,15,U,24,9,8,9
GP,STD152,M,16,U,0,15,13,13
GP,STD153,M,16,U,4,12,11,11
GP,STD154,F,15,U,2,13,13,13
GP,STD155,F,16,U,4,10,11,11
GP,STD156,M,17,U,22,9,7,6
GP,STD157,F,15,U,0,12,12,12
GP,STD158,F,15,U,0,11,10,10
GP,STD159,F,15,U,2,11,11,11
GP,STD160,F,15,U,6,13,12,13
GP,STD161,F,15,U,6,11,11,11
GP,STD162,M,16,U,16,9,9,8
GP,STD163,M,15,U,0,12,11,11
GP,STD164,M,18,U,0,11,9,0
GP,STD165,M,16,U,6,9,10,10
GP,STD166,F,15,R,2,13,13,13
GP,STD167,M,19,U,6,11,9,11
GP,STD168,F,17,U,0,13,13,13
GP,STD169,M,15,R,0,7,8,8
GP,STD170,M,17,R,14,9,8,10
GP,STD171,F,18,R,6,11,10,11
GP,STD172,M,16,R,4,12,10,11
GP,STD173,M,16,U,0,10,10,1
GP,STD174,M,16,U,0,9,8,10
GP,STD175,M,17,R,8,8,8,9
GP,STD176,M,17,R,4,7,6,8
GP,STD177,M,15,U,2,8,9,10
GP,STD178,M,16,U,2,9,8,8
GP,STD179,M,17,R,0,8,8,8
GP,STD180,M,17,U,10,8,7,8
GP,STD181,M,16,U,0,9,10,11
GP,STD182,F,16,U,0,17,17,18
GP,STD183,F,16,U,0,12,12,13
GP,STD184,F,16,U,0,16,16,17
GP,STD185,M,16,U,4,9,9,10
GP,STD186,M,16,U,0,16,17,18
GP,STD187,M,17,U,0,11,9,10
GP,STD188,F,16,U,0,14,13,13
GP,STD189,F,16,U,0,14,14,15
GP,STD190,M,17,U,0,10,11,11
GP,STD191,F,16,U,0,13,12,14
GP,STD192,M,17,U,4,11,9,10
GP,STD193,M,16,R,8,10,9,11
GP,STD194,M,17,U,4,11,11,13
GP,STD195,M,16,U,4,11,10,11
GP,STD196,M,16,U,0,11,12,13
GP,STD197,F,17,U,0,17,18,17
GP,STD198,F,17,U,32,14,13,14
GP,STD199,F,16,U,8,14,15,16
GP,STD200,M,17,U,6,11,13,14
GP,STD201,M,16,U,0,10,9,11
GP,STD202,M,16,U,0,13,14,16
GP,STD203,F,17,U,10,12,13,14
GP,STD204,M,17,R,6,9,9,10
GP,STD205,F,16,U,6,12,12,13
GP,STD206,F,17,U,0,12,11,12
GP,STD207,M,17,U,16,10,11,12
GP,STD208,M,16,R,0,11,10,10
GP,STD209,M,16,U,0,13,12,12
GP,STD210,F,17,U,8,14,15,16
GP,STD211,M,17,U,4,13,13,14
GP,STD212,M,16,R,16,10,11,12
GP,STD213,F,17,U,30,14,15,16
GP,STD214,F,16,U,0,11,10,11
GP,STD215,F,16,U,2,14,14,15
GP,STD216,F,16,U,4,11,12,12
GP,STD217,F,17,U,0,14,15,15
GP,STD218,F,17,R,21,13,13,13
GP,STD219,F,16,R,6,13,13,13
GP,STD220,F,17,U,14,8,9,8
GP,STD221,F,16,U,2,11,11,12
GP,STD222,F,16,U,4,14,15,15
GP,STD223,F,16,U,2,12,13,13
GP,STD224,F,17,R,0,11,12,12
GP,STD225,F,19,U,4,12,12,12
GP,STD226,M,17,U,15,13,12,12
GP,STD227,F,16,U,0,13,13,13
GP,STD228,M,18,U,10,12,11,11
GP,STD229,F,17,R,6,12,11,11
GP,STD230,F,17,U,2,14,16,15
GP,STD231,F,17,U,16,11,9,10
GP,STD232,M,18,U,10,10,10,10
GP,STD233,F,17,U,4,12,13,13
GP,STD234,F,17,U,0,12,12,13
GP,STD235,F,17,R,0,11,10,11
GP,STD236,F,17,U,12,12,12,12
GP,STD237,F,16,U,0,13,13,14
GP,STD238,M,18,U,9,10,9,10
GP,STD239,F,16,U,4,15,16,16
GP,STD240,F,18,R,4,8,8,8
GP,STD241,F,17,U,2,17,18,17
GP,STD242,M,17,U,0,10,11,11
GP,STD243,M,18,U,2,9,10,11
GP,STD244,F,17,U,0,15,15,16
GP,STD245,F,17,U,0,14,12,12
GP,STD246,M,17,R,0,12,13,13
GP,STD247,M,17,U,0,13,13,13
GP,STD248,M,16,U,0,13,13,14
GP,STD249,M,16,U,2,9,9,9
GP,STD250,M,16,U,0,12,12,12
GP,STD251,M,17,U,0,16,16,16
GP,STD252,F,16,U,4,9,10,10
GP,STD253,F,16,U,0,14,13,13
GP,STD254,F,18,U,18,10,10,10
GP,STD255,F,18,U,16,9,8,10
GP,STD256,F,18,U,14,8,7,7
GP,STD257,M,18,U,26,7,8,8
GP,STD258,M,17,U,6,10,8,9
GP,STD259,F,17,U,4,14,14,15
GP,STD260,F,17,U,10,11,10,10
GP,STD261,F,16,U,4,12,11,11
GP,STD262,F,17,R,2,13,13,13
GP,STD263,F,17,R,14,9,9,8
GP,STD264,M,18,U,16,8,7,8
GP,STD265,F,17,U,8,11,9,10
GP,STD266,F,17,R,4,15,14,15
GP,STD267,F,17,U,4,15,14,14
GP,STD268,M,17,U,8,15,15,15
GP,STD269,M,17,R,0,12,12,12
GP,STD270,M,16,U,7,14,14,15
GP,STD271,M,16,U,4,14,15,15
GP,STD272,F,17,U,2,11,11,12
GP,STD273,M,17,R,2,13,14,15
GP,STD274,F,17,U,10,11,11,11
GP,STD275,F,17,U,10,10,9,10
GP,STD276,F,18,U,10,12,10,11
GP,STD277,M,16,U,7,15,16,16
GP,STD278,F,17,U,4,11,10,11
GP,STD279,M,17,U,2,9,12,13
GP,STD280,M,22,U,12,7,8,5
GP,STD281,M,18,R,8,10,9,10
GP,STD282,M,16,U,0,11,12,11
GP,STD283,M,18,U,8,7,8,7
GP,STD284,M,16,U,4,9,11,10
GP,STD285,M,18,U,4,7,8,6
GP,STD286,M,16,R,2,14,13,12
GP,STD287,M,17,R,0,12,12,13
GP,STD288,M,17,U,0,9,10,10
GP,STD289,F,18,U,2,12,12,13
GP,STD290,F,17,U,2,14,15,17
GP,STD291,F,19,U,0,10,10,11
GP,STD292,M,18,U,4,11,10,11
GP,STD293,F,17,R,2,11,12,14
GP,STD294,F,18,U,4,11,12,14
GP,STD295,F,18,R,4,11,11,13
GP,STD296,M,19,U,4,11,13,14
GP,STD297,M,18,U,2,16,16,16
GP,STD298,M,17,R,0,9,10,10
GP,STD299,F,17,U,2,10,11,12
GP,STD300,F,20,R,8,10,12,12
GP,STD301,F,18,U,2,15,15,15
GP,STD302,M,18,U,2,10,10,11
GP,STD303,M,18,R,2,10,11,12
GP,STD304,F,17,U,2,15,12,13
GP,STD305,F,18,U,0,11,12,13
GP,STD306,M,17,U,8,8,8,9
GP,STD307,M,18,R,6,15,16,16
GP,STD308,M,17,U,0,11,11,14
GP,STD309,F,18,R,8,10,11,12
GP,STD310,M,18,U,4,10,12,14
GP,STD311,F,18,R,12,8,9,10
GP,STD312,F,19,U,16,11,12,12
GP,STD313,F,18,U,10,16,16,16
GP,STD314,F,18,U,2,13,13,13
GP,STD315,M,17,R,2,16,17,18
GP,STD316,F,18,U,8,14,14,15
GP,STD317,F,17,U,6,15,16,16
GP,STD318,F,17,U,6,12,12,12
GP,STD319,F,18,R,15,12,9,10
GP,STD320,M,18,U,6,11,12,12
GP,STD321,F,18,U,2,14,12,13
GP,STD322,F,17,U,8,13,15,15
GP,STD323,F,19,R,0,9,8,10
GP,STD324,M,18,U,0,10,10,10
GP,STD325,M,18,U,10,10,10,11
GP,STD326,M,17,U,22,11,11,10
GP,STD327,M,17,U,18,13,13,13
GP,STD328,F,18,R,2,17,17,18
GP,STD329,F,18,U,0,12,13,13
GP,STD330,F,17,U,12,12,12,14
GP,STD331,F,18,U,10,12,13,14
GP,STD332,M,17,U,0,12,12,12
GP,STD333,F,18,U,0,18,18,18
GP,STD334,F,17,U,0,13,13,14
GP,STD335,M,18,U,0,14,15,15
GP,STD336,M,18,U,0,17,17,17
GP,STD337,M,18,U,2,15,16,16
GP,STD338,F,17,U,0,17,18,18
GP,STD339,F,17,R,0,18,19,19
GP,STD340,M,18,R,0,14,15,15
GP,STD341,M,17,U,0,14,15,15
GP,STD342,F,19,U,2,14,13,13
GP,STD343,F,18,U,0,13,14,14
GP,STD344,F,18,U,0,16,17,17
GP,STD345,M,18,U,0,18,18,17
GP,STD346,F,18,U,0,14,15,15
GP,STD347,M,17,U,0,12,13,13
GP,STD348,F,17,R,0,7,7,8
GP,STD349,F,17,U,0,16,16,16
GP,STD350,F,17,U,0,18,18,18
GP,STD351,M,19,R,0,9,10,11
GP,STD352,M,20,U,0,14,15,15
GP,STD353,M,19,R,0,10,10,11
GP,STD354,F,18,U,2,10,10,11
GP,STD355,F,18,U,2,12,12,15
GP,STD356,F,17,U,2,11,12,14
GP,STD357,F,17,R,2,15,16,17
GP,STD358,F,18,U,2,14,15,17
GP,STD359,F,18,U,8,12,12,15
GP,STD360,F,17,R,2,15,15,17
GP,STD361,F,18,U,8,11,12,14
GP,STD362,M,19,U,9,11,10,10
GP,STD363,F,18,U,0,12,11,13
GP,STD364,F,18,U,4,11,12,14
GP,STD365,F,17,U,2,14,15,17
GP,STD366,F,17,U,14,15,14,17
GP,STD367,F,17,U,0,12,12,13
GP,STD368,F,17,U,2,11,12,14
GP,STD369,M,18,U,2,8,9,11
GP,STD370,F,19,U,12,10,10,11
GP,STD371,F,19,U,2,8,8,9
GP,STD372,F,18,U,2,10,10,10
GP,STD373,F,17,U,4,14,13,13
GP,STD374,F,17,R,0,11,11,10
GP,STD375,F,17,U,0,17,18,17
GP,STD376,F,17,U,0,14,14,15
GP,STD377,F,18,U,0,14,14,14
GP,STD378,M,18,U,0,13,14,13
GP,STD379,M,17,U,0,17,18,17
GP,STD380,M,17,R,2,11,10,10
GP,STD381,F,17,U,0,13,12,13
GP,STD382,F,17,U,4,15,14,15
GP,STD383,F,17,U,2,11,12,11
GP,STD384,M,18,U,0,11,11,12
GP,STD385,M,19,R,0,11,10,10
GP,STD386,F,18,U,2,10,9,10
GP,STD387,F,17,R,0,15,15,15
GP,STD388,M,18,U,6,15,14,15
GP,STD389,F,18,U,8,10,11,12
GP,STD390,F,18,U,0,10,9,12
GP,STD391,F,18,R,6,14,13,14
GP,STD392,F,17,U,8,11,13,14
GP,STD393,F,17,U,0,12,13,15
GP,STD394,F,18,U,4,14,14,15
GP,STD395,F,17,R,0,14,14,16
GP,STD396,M,18,U,0,12,12,13
GP,STD397,M,18,U,6,16,16,17
GP,STD398,F,17,U,18,10,12,14
GP,STD399,F,18,U,0,11,12,14
GP,STD400,F,18,U,4,14,16,17
GP,STD401,M,18,R,4,15,14,17
GP,STD402,M,18,U,0,14,13,14
GP,STD403,F,17,U,0,11,12,13
GP,STD404,F,17,U,10,12,15,15
GP,STD405,F,17,U,4,12,16,16
GP,STD406,F,19,U,16,10,11,11
GP,STD407,F,17,U,6,10,13,13
GP,STD408,F,21,U,0,9,12,12
GP,STD409,M,18,U,11,9,11,12
GP,STD410,M,18,U,9,13,14,15
GP,STD411,F,17,U,0,13,17,17
GP,STD412,M,17,U,2,12,15,15
GP,STD413,F,18,U,0,14,17,17
GP,STD414,M,21,R,21,9,10,10
GP,STD415,F,20,R,8,11,15,15
GP,STD416,F,19,U,5,9,10,11
GP,STD417,M,17,U,10,16,18,18
GP,STD418,F,18,U,5,14,17,17
GP,STD419,M,18,R,13,13,14,14
GP,STD420,M,19,U,10,7,11,11
GP,STD421,F,18,U,10,14,17,17
GP,STD422,F,20,U,5,8,10,10
GP,STD423,F,18,U,4,10,13,13
MS,STD1,F,16,U,11,10,11,11
MS,STD2,F,16,R,0,12,12,12
MS,STD3,F,15,R,6,10,10,10
MS,STD4,F,15,R,4,10,10,11
MS,STD5,F,16,R,0,16,17,17
MS,STD6,F,15,R,0,6,8,9
MS,STD7,M,16,R,5,10,11,11
MS,STD8,M,16,U,0,10,11,11
MS,STD9,F,17,R,0,10,10,10
MS,STD10,F,17,R,0,6,6,7
MS,STD11,F,15,R,0,13,14,14
MS,STD12,F,16,U,4,10,9,11
MS,STD13,F,15,R,0,10,10,10
MS,STD14,F,15,R,4,6,7,8
MS,STD15,F,16,R,0,12,11,12
MS,STD16,F,17,R,2,10,11,12
MS,STD17,F,15,R,0,14,16,16
MS,STD18,M,16,U,0,7,0,0
MS,STD19,M,17,U,4,8,9,9
MS,STD20,M,15,R,0,12,13,14
MS,STD21,M,15,R,7,7,9,8
MS,STD22,M,16,R,4,9,10,11
MS,STD23,M,15,R,8,7,9,9
MS,STD24,M,15,U,0,11,11,11
MS,STD25,M,17,R,8,8,10,9
MS,STD26,F,16,R,6,16,16,17
MS,STD27,F,15,R,3,11,13,13
MS,STD28,F,16,R,2,15,15,15
MS,STD29,M,16,R,0,10,11,11
MS,STD30,F,16,R,4,9,10,11
MS,STD31,F,16,U,0,10,8,8
MS,STD32,F,16,U,3,9,8,8
MS,STD33,F,15,U,0,9,10,9
MS,STD34,F,16,U,0,13,14,15
MS,STD35,M,17,R,4,10,11,11
MS,STD36,F,16,R,0,13,10,13
MS,STD37,F,16,R,2,10,9,10
MS,STD38,F,15,R,1,11,10,11
MS,STD39,F,16,R,0,13,12,14
MS,STD40,F,15,R,0,13,14,14
MS,STD41,F,15,R,2,14,11,12
MS,STD42,M,16,R,6,11,11,11
MS,STD43,F,18,U,9,9,8,8
MS,STD44,M,15,U,0,10,9,11
MS,STD45,F,16,R,1,14,13,14
MS,STD46,M,15,U,1,13,12,13
MS,STD47,M,16,U,0,13,12,13
MS,STD48,F,15,R,4,13,12,12
MS,STD49,F,16,R,2,12,11,12
MS,STD50,F,16,R,0,14,14,16
MS,STD51,M,16,U,4,10,8,10
MS,STD52,M,15,R,2,10,11,11
MS,STD53,F,15,U,0,12,13,14
MS,STD54,F,16,R,2,10,8,8
MS,STD55,M,15,U,11,12,10,11
MS,STD56,F,16,R,0,7,7,8
MS,STD57,F,17,U,4,9,9,10
MS,STD58,F,19,U,0,9,9,10
MS,STD59,F,17,R,2,9,10,11
MS,STD60,F,15,R,0,9,10,9
MS,STD61,F,16,R,1,9,10,11
MS,STD62,F,16,U,6,7,7,8
MS,STD63,F,17,R,0,11,10,11
MS,STD64,F,16,U,1,9,10,10
MS,STD65,F,18,R,6,7,9,10
MS,STD66,F,19,U,6,7,9,9
MS,STD67,M,18,R,0,8,9,10
MS,STD68,F,18,R,4,9,11,10
MS,STD69,F,19,U,12,7,8,9
MS,STD70,F,16,R,2,8,10,10
MS,STD71,F,17,U,5,9,9,10
MS,STD72,F,16,R,0,8,9,9
MS,STD73,F,16,U,0,14,13,13
MS,STD74,F,16,R,2,14,14,14
MS,STD75,M,17,U,0,10,11,10
MS,STD76,F,16,U,0,14,13,14
MS,STD77,F,16,U,0,17,16,16
MS,STD78,M,17,U,12,6,7,7
MS,STD79,M,16,U,8,14,12,13
MS,STD80,M,17,R,2,10,8,9
MS,STD81,F,16,U,0,14,14,14
MS,STD82,F,19,U,0,12,13,13
MS,STD83,F,17,R,0,11,11,11
MS,STD84,F,20,U,8,11,9,10
MS,STD85,F,17,U,0,11,11,10
MS,STD86,M,17,R,0,10,9,9
MS,STD87,F,16,R,0,16,17,18
MS,STD88,F,17,R,0,15,17,17
MS,STD89,F,17,U,1,11,9,10
MS,STD90,F,18,R,9,7,7,7
MS,STD91,F,16,U,0,8,6,8
MS,STD92,F,16,U,2,7,6,7
MS,STD93,F,18,U,8,9,8,10
MS,STD94,F,16,R,0,14,16,16
MS,STD95,F,16,R,0,14,14,15
MS,STD96,F,18,U,8,8,5,8
MS,STD97,M,16,R,0,8,7,0
MS,STD98,F,16,U,6,6,8,8
MS,STD99,F,16,R,0,8,10,10
MS,STD100,F,16,U,4,8,8,8
MS,STD101,M,18,U,2,5,6,6
MS,STD102,F,16,R,2,7,9,8
MS,STD103,M,17,U,0,15,14,16
MS,STD104,F,17,R,1,13,14,14
MS,STD105,M,16,U,0,10,9,10
MS,STD106,F,17,R,5,9,9,9
MS,STD107,F,16,U,1,11,11,11
MS,STD108,M,17,U,8,7,10,9
MS,STD109,M,17,U,0,10,10,10
MS,STD110,M,16,U,2,9,7,8
MS,STD111,F,16,U,0,14,15,16
MS,STD112,M,16,U,0,11,12,12
MS,STD113,M,15,R,11,9,11,10
MS,STD114,M,15,U,8,13,14,14
MS,STD115,M,15,U,11,12,13,12
MS,STD116,F,16,R,2,11,11,11
MS,STD117,F,16,U,8,9,10,10
MS,STD118,F,17,U,5,9,11,11
MS,STD119,F,17,R,0,11,9,11
MS,STD120,F,16,U,1,10,11,12
MS,STD121,M,17,R,2,9,9,8
MS,STD122,M,17,R,2,12,11,12
MS,STD123,M,17,U,8,8,9,8
MS,STD124,F,17,U,0,13,15,16
MS,STD125,M,16,R,0,10,11,11
MS,STD126,F,17,U,2,11,10,11
MS,STD127,F,17,R,0,17,18,18
MS,STD128,M,16,U,0,12,13,13
MS,STD129,M,17,U,0,13,14,13
MS,STD130,M,19,U,2,9,9,10
MS,STD131,M,17,U,4,11,11,12
MS,STD132,F,17,R,3,10,11,10
MS,STD133,F,16,R,5,13,14,13
MS,STD134,M,16,R,4,9,10,11
MS,STD135,F,17,R,2,7,9,10
MS,STD136,M,17,R,0,8,13,10
MS,STD137,M,18,R,0,12,12,13
MS,STD138,M,17,R,0,10,9,10
MS,STD139,M,18,U,6,10,9,10
MS,STD140,F,16,R,0,11,13,12
MS,STD141,M,17,U,0,7,0,0
MS,STD142,M,16,R,2,11,9,10
MS,STD143,M,16,R,0,10,10,9
MS,STD144,M,18,R,2,9,7,9
MS,STD145,M,18,R,0,4,0,0
MS,STD146,M,19,U,4,6,11,9
MS,STD147,M,18,U,9,4,8,8
MS,STD148,M,16,R,6,7,8,8
MS,STD149,M,19,U,4,8,9,9
MS,STD150,F,16,U,8,5,5,7
MS,STD151,F,17,U,9,7,9,10
MS,STD152,M,20,R,12,8,11,10
MS,STD153,F,18,R,8,10,11,10
MS,STD154,M,18,R,8,9,10,11
MS,STD155,M,19,R,8,10,9,11
MS,STD156,M,17,U,4,8,9,10
MS,STD157,M,18,U,0,9,10,9
MS,STD158,M,19,R,4,8,9,10
MS,STD159,F,18,U,2,6,8,8
MS,STD160,F,19,U,0,6,8,7
MS,STD161,F,18,R,0,8,6,0
MS,STD162,F,17,R,0,10,11,11
MS,STD163,F,17,R,5,8,7,8
MS,STD164,F,17,U,0,8,8,0
MS,STD165,F,18,R,3,7,6,8
MS,STD166,F,17,U,0,8,10,9
MS,STD167,F,17,U,0,7,10,10
MS,STD168,F,18,U,3,7,8,7
MS,STD169,F,18,U,2,12,13,14
MS,STD170,F,17,U,0,11,12,13
MS,STD171,F,18,U,0,12,13,14
MS,STD172,F,18,U,0,18,18,18
MS,STD173,M,18,U,3,17,17,17
MS,STD174,F,17,U,0,17,18,18
MS,STD175,F,18,R,0,9,0,0
MS,STD176,M,18,U,8,10,11,11
MS,STD177,M,18,R,5,12,13,14
MS,STD178,M,17,R,4,12,13,14
MS,STD179,F,18,U,4,8,8,10
MS,STD180,F,18,U,0,11,12,13
MS,STD181,F,18,R,0,5,0,0
MS,STD182,F,18,U,2,9,10,10
MS,STD183,F,19,U,0,5,0,0
MS,STD184,F,17,U,0,18,18,18
MS,STD185,F,17,R,5,11,11,12
MS,STD186,F,18,U,2,8,10,11
MS,STD187,F,18,U,0,11,11,12
MS,STD188,F,19,R,0,8,0,0
MS,STD189,F,18,R,5,14,14,15
MS,STD190,M,17,R,4,10,11,11
MS,STD191,F,18,U,0,10,10,10
MS,STD192,F,17,R,2,12,12,12
MS,STD193,F,17,U,0,15,14,15
MS,STD194,M,18,U,2,14,13,14
MS,STD195,F,18,U,0,19,17,18
MS,STD196,F,18,R,0,16,15,15
MS,STD197,F,18,U,6,13,12,13
MS,STD198,F,17,U,4,15,14,15
MS,STD199,F,17,R,0,13,13,13
MS,STD200,M,18,R,0,8,10,9
MS,STD201,M,18,U,0,15,16,16
MS,STD202,F,17,R,0,8,8,9
MS,STD203,F,18,U,0,10,10,10
MS,STD204,F,18,R,0,7,5,0
MS,STD205,M,18,R,3,9,10,10
MS,STD206,F,17,U,8,10,11,12
MS,STD207,F,17,R,4,7,8,9
MS,STD208,F,18,R,0,15,17,17
MS,STD209,F,18,R,4,10,11,12
MS,STD210,F,19,R,4,7,8,9
MS,STD211,F,18,R,1,13,14,14
MS,STD212,F,18,U,1,16,16,16
MS,STD213,F,17,R,10,8,9,9
MS,STD214,M,18,U,4,17,18,19
MS,STD215,M,18,R,0,7,7,0
MS,STD216,M,17,U,4,14,15,16
MS,STD217,M,19,R,0,5,8,0
MS,STD218,M,18,R,0,7,7,0
MS,STD219,F,18,R,0,14,17,15
MS,STD220,F,17,U,0,6,9,11
MS,STD221,F,18,R,4,7,9,10
MS,STD222,F,19,R,4,10,11,10
MS,STD223,F,18,U,4,15,15,16
MS,STD224,F,18,U,6,11,12,9
MS,STD225,M,17,U,6,10,10,10
MS,STD226,M,18,R,4,10,11,11
